C,G,MSE,CCR
0.1,0.1,0,85.71428571428571
0.1,1,0,94.64285714285714
0.1,10,0,33.92857142857143
1,0.1,0,97.32142857142857
1,1,0,98.21428571428571
1,10,0,100.0
10,0.1,0,97.32142857142857
10,1,0,99.10714285714286
10,10,0,100.0
