eta,l2,ratio_rbf,MSE,CCR
0.1,False,0.1,0.05714285714285714,94.28571428571428
0.1,True,0.1,0.0,100.0
0.1,False,0.2,0.0,100.0
0.1,True,0.2,0.02857142857142857,97.14285714285714
