C,G,MSE,CCR
0.1,0.1,0,74.28571428571429
0.1,1,0,74.28571428571429
0.1,10,0,74.28571428571429
1,0.1,0,94.28571428571428
1,1,0,100.0
1,10,0,100.0
10,0.1,0,100.0
10,1,0,100.0
10,10,0,100.0
