,C,l2,ccr_train,ccr_test,mae_train,mae_test,amae_train,amae_test,ms_train,ms_test
0,10,False,1.0,0.935483870968,0.0,0.0645161290323,0.0,0.0833333333333,1.0,0.75
1,10,False,0.942857142857,0.939393939394,0.0571428571429,0.0606060606061,0.0626780626781,0.0694444444444,0.888888888889,0.875
